Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_accident,Is_finished,Is_mechanical,Is_dsq,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2024,1,Sakhir,ALB,Williams,15.0,13,13,0,13.0,11.0,15.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,28,3.38,18.2,23.652866242038225,49.0,False,0.7,1017.1,10.0,4.0,1,0.0,0,7.0,THA,0.0,,0.0,1.0,0.6931471805599453,1.0,10.0,10.0
2024,1,Sakhir,ALO,Aston Martin,9.0,6,6,0,5.0,3.0,2.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,43,2.85,18.2,23.652866242038225,49.0,False,0.7,1017.1,3.0,18.0,2,0.0,1,8.0,ESP,0.0,,1.0,1.9999980000020001,1.0986116220018876,1.0,3.0,3.0
2024,1,Sakhir,BOT,Sauber,19.0,16,16,0,10.0,17.0,17.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,35,6.27,18.2,23.652866242038225,49.0,False,0.7,1017.1,8.0,10.0,1,0.0,0,7.0,FIN,0.0,,0.0,1.0,0.6931471805599453,1.0,8.0,8.0
2024,1,Sakhir,GAS,Alpine,18.0,20,20,0,18.0,16.0,20.0,0.0,1,0.0,0.0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,28,2.92,18.2,23.652866242038225,49.0,False,0.7,1017.1,9.0,6.0,2,0.0,1,6.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,9.0,9.0
2024,1,Sakhir,HAM,Mercedes,7.0,9,9,0,9.0,1.0,12.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,39,2.83,18.2,23.652866242038225,49.0,False,0.7,1017.1,5.0,45.0,3,0.0,1,10.0,GBR,0.0,,10.0,0.599999940000006,0.4700035917457386,1.0,5.0,5.0
2024,1,Sakhir,HUL,Haas F1 Team,16.0,10,10,0,20.0,7.0,9.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,37,3.35,18.2,23.652866242038225,49.0,False,0.7,1017.1,15.0,2.0,1,0.0,0,6.0,GER,0.0,,0.0,1.0,0.6931471805599453,1.0,15.0,15.0
2024,1,Sakhir,LEC,Ferrari,4.0,2,2,0,8.0,9.0,4.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,27,2.59,18.2,23.652866242038225,49.0,False,0.7,1017.1,26.32,25.0,3,0.0,1,8.0,MON,0.0,,15.0,0.7999999466666703,0.587786635272491,1.0,20.0,20.0
2024,1,Sakhir,MAG,Haas F1 Team,12.0,15,15,0,19.0,14.0,14.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,32,3.35,18.2,23.652866242038225,49.0,False,0.7,1017.1,13.0,2.0,1,0.0,0,7.0,DEN,0.0,,0.0,1.0,0.6931471805599453,1.0,13.0,13.0
2024,1,Sakhir,NOR,McLaren,6.0,7,7,0,2.0,20.0,5.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,25,2.77,18.2,23.652866242038225,49.0,False,0.7,1017.1,17.0,22.0,2,0.0,0,6.0,GBR,0.0,,4.0,1.999999500000125,1.0986121220014708,1.0,17.0,17.0
2024,1,Sakhir,OCO,Alpine,17.0,19,19,0,17.0,18.0,18.0,0.0,1,0.0,0.0,0,0,0,0,Renault,5.412,57,3,15,3,2,2,3,0,2,20.0,28,2.92,18.2,23.652866242038225,49.0,False,0.7,1017.1,22.81,6.0,2,0.0,1,7.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,20.0,20.0
2024,1,Sakhir,PER,Red Bull Racing,2.0,5,5,0,12.0,10.0,8.0,0.0,1,0.0,0.0,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,34,2.62,18.2,23.652866242038225,49.0,False,0.7,1017.1,2.0,12.0,3,0.0,0,6.0,MEX,0.0,,25.0,0.7199999712000011,0.5423242740811761,1.0,2.0,2.0
2024,1,Sakhir,PIA,McLaren,8.0,8,8,0,3.0,5.0,7.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,23,2.77,18.2,23.652866242038225,49.0,False,0.7,1017.1,43.16,6.0,2,0.0,0,7.0,AUS,0.0,,8.0,0.4999999375000079,0.4054650664415021,1.0,20.0,20.0
2024,1,Sakhir,RIC,Racing Bulls,13.0,14,14,0,1.0,12.0,11.0,0.0,1,0.0,0.0,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,35,3.51,18.2,23.652866242038225,49.0,False,0.7,1017.1,,1.5,2,0.0,0,6.0,AUS,0.0,,0.0,1.0,0.6931471805599453,1.0,10.473684210526315,10.473684210526315
2024,1,Sakhir,RUS,Mercedes,5.0,3,3,0,7.0,2.0,6.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,26,2.83,18.2,23.652866242038225,49.0,False,0.7,1017.1,7.0,16.0,3,0.0,1,8.0,GBR,0.0,,6.0,1.666666388888935,0.9808291488450714,1.0,7.0,7.0
2024,1,Sakhir,SAI,Ferrari,3.0,4,4,0,11.0,4.0,1.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.412,57,3,15,3,2,2,3,0,2,20.0,30,2.59,18.2,23.652866242038225,49.0,False,0.7,1017.1,4.0,12.0,3,0.0,1,9.0,ESP,0.0,,12.0,1.249999895833342,0.8109301699200353,1.0,4.0,4.0
2024,1,Sakhir,SAR,Williams,20.0,18,18,0,16.0,13.0,19.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.38,18.2,23.652866242038225,49.0,False,0.7,1017.1,12.0,1.0,1,0.0,0,3.0,USA,0.0,,0.0,1.0,0.6931471805599453,1.0,12.0,12.0
2024,1,Sakhir,STR,Aston Martin,10.0,12,12,0,14.0,8.0,10.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.412,57,3,15,3,2,2,3,0,2,20.0,26,2.85,18.2,23.652866242038225,49.0,False,0.7,1017.1,6.0,3.0,2,0.0,1,,CAN,0.0,,2.0,0.499999750000125,0.40546494144156714,1.0,6.0,6.0
2024,1,Sakhir,TSU,Racing Bulls,14.0,11,11,0,4.0,15.0,13.0,0.0,1,0.0,0.0,0,0,0,0,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,24,3.51,18.2,23.652866242038225,49.0,False,0.7,1017.1,11.0,1.0,2,0.0,0,5.0,JPN,0.0,,0.0,1.0,0.6931471805599453,1.0,11.0,11.0
2024,1,Sakhir,VER,Red Bull Racing,1.0,1,1,0,6.0,6.0,3.0,0.0,1,0.0,0.0,0,0,0,1,Honda,5.412,57,3,15,3,2,2,3,0,2,20.0,27,2.62,18.2,23.652866242038225,49.0,False,0.7,1017.1,1.0,55.0,3,0.0,0,,NED,0.0,,18.0,1.3888888117283993,0.8708283254976574,1.0,1.0,1.0
