Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3
2025,1,Melbourne,NOR,McLaren,1,1,1,0,1,3,10
2025,1,Melbourne,VER,Red Bull Racing,2,3,3,0,5,7,3
2025,1,Melbourne,RUS,Mercedes,3,4,4,0,7,10,2
2025,1,Melbourne,ANT,Mercedes,4,16,16,0,14,16,5
2025,1,Melbourne,ALB,Williams,5,6,6,0,6,12,7
2025,1,Melbourne,STR,Aston Martin,6,13,13,0,10,9,14
2025,1,Melbourne,HUL,Kick Sauber,7,17,17,0,18,8,16
2025,1,Melbourne,LEC,Ferrari,8,7,7,0,3,1,4
2025,1,Melbourne,PIA,McLaren,9,2,2,0,4,2,1
2025,1,Melbourne,HAM,Ferrari,10,8,8,0,12,5,8
2025,1,Melbourne,GAS,Alpine,11,9,9,0,17,15,12
2025,1,Melbourne,TSU,Racing Bulls,12,5,5,0,11,4,9
2025,1,Melbourne,OCO,Haas F1 Team,13,19,19,0,19,19,18
2025,1,Melbourne,BEA,Haas F1 Team,14,20,20,0,20,0,0
2025,1,Melbourne,LAW,Red Bull Racing,15,18,18,0,16,17,0
2025,1,Melbourne,BOR,Kick Sauber,16,15,15,0,15,18,11
2025,1,Melbourne,ALO,Aston Martin,17,12,12,0,8,13,17
2025,1,Melbourne,SAI,Williams,18,10,10,0,2,11,6
2025,1,Melbourne,DOO,Alpine,19,14,14,0,13,14,15
2025,1,Melbourne,HAD,Racing Bulls,20,11,11,0,9,6,13
2025,2,Shanghai,PIA,McLaren,1,1,1,2,3,0,0
2025,2,Shanghai,NOR,McLaren,2,3,3,8,1,0,0
2025,2,Shanghai,RUS,Mercedes,3,2,2,4,5,0,0
2025,2,Shanghai,VER,Red Bull Racing,4,4,4,3,16,0,0
2025,2,Shanghai,OCO,Haas F1 Team,5,11,11,16,13,0,0
2025,2,Shanghai,ANT,Mercedes,6,8,8,7,9,0,0
2025,2,Shanghai,ALB,Williams,7,10,10,11,7,0,0
2025,2,Shanghai,BEA,Haas F1 Team,8,17,17,15,11,0,0
2025,2,Shanghai,STR,Aston Martin,9,14,14,9,12,0,0
2025,2,Shanghai,SAI,Williams,10,15,15,17,15,0,0
2025,2,Shanghai,HAD,Racing Bulls,11,7,7,13,17,0,0
2025,2,Shanghai,LAW,Red Bull Racing,12,20,20,14,18,0,0
2025,2,Shanghai,DOO,Alpine,13,18,18,20,20,0,0
2025,2,Shanghai,BOR,Kick Sauber,14,19,19,18,19,0,0
2025,2,Shanghai,HUL,Kick Sauber,15,12,12,19,6,0,0
2025,2,Shanghai,TSU,Racing Bulls,16,9,9,6,10,0,0
2025,2,Shanghai,ALO,Aston Martin,17,13,13,10,8,0,0
2025,2,Shanghai,LEC,Ferrari,18,6,6,5,2,0,0
2025,2,Shanghai,HAM,Ferrari,19,5,5,1,4,0,0
2025,2,Shanghai,GAS,Alpine,20,16,16,12,14,0,0
2025,3,Suzuka,VER,Red Bull Racing,1,1,1,0,5,8,5
2025,3,Suzuka,NOR,McLaren,2,2,2,0,1,2,1
2025,3,Suzuka,PIA,McLaren,3,3,3,0,15,1,2
2025,3,Suzuka,LEC,Ferrari,4,4,4,0,3,7,4
2025,3,Suzuka,RUS,Mercedes,5,5,5,0,2,6,3
2025,3,Suzuka,ANT,Mercedes,6,6,6,0,9,16,13
2025,3,Suzuka,HAM,Ferrari,7,8,8,0,4,4,6
2025,3,Suzuka,HAD,Racing Bulls,8,7,7,0,8,3,10
2025,3,Suzuka,ALB,Williams,9,9,9,0,11,11,7
2025,3,Suzuka,BEA,Haas F1 Team,10,10,10,0,18,15,16
2025,3,Suzuka,ALO,Aston Martin,11,12,13,0,7,17,15
2025,3,Suzuka,TSU,Red Bull Racing,12,14,15,0,6,18,9
2025,3,Suzuka,GAS,Alpine,13,11,11,0,14,9,8
2025,3,Suzuka,SAI,Williams,14,15,12,0,10,10,11
2025,3,Suzuka,DOO,Alpine,15,19,19,0,0,20,14
2025,3,Suzuka,HUL,Kick Sauber,16,16,16,0,17,12,20
2025,3,Suzuka,LAW,Racing Bulls,17,13,14,0,13,5,12
2025,3,Suzuka,OCO,Haas F1 Team,18,18,18,0,19,14,18
2025,3,Suzuka,BOR,Kick Sauber,19,17,17,0,20,13,17
2025,3,Suzuka,STR,Aston Martin,20,20,20,0,16,19,19
2025,4,Sakhir,PIA,McLaren,1,1,1,0,10,1,1
2025,4,Sakhir,RUS,Mercedes,2,3,2,0,0,3,4
2025,4,Sakhir,NOR,McLaren,3,6,6,0,1,2,2
2025,4,Sakhir,LEC,Ferrari,4,2,3,0,0,4,3
2025,4,Sakhir,HAM,Ferrari,5,9,9,0,3,8,10
2025,4,Sakhir,VER,Red Bull Racing,6,7,7,0,0,7,8
2025,4,Sakhir,GAS,Alpine,7,4,5,0,2,17,6
2025,4,Sakhir,OCO,Haas F1 Team,8,14,14,0,5,16,11
2025,4,Sakhir,TSU,Red Bull Racing,9,10,10,0,9,18,20
2025,4,Sakhir,BEA,Haas F1 Team,10,20,20,0,0,9,16
2025,4,Sakhir,ANT,Mercedes,11,5,4,0,20,5,5
