Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_accident,Is_finished,Is_dsq,Is_mechanical,P1_missing,P2_missing,P3_missing,FastestLap,Engine,CircleLength,Quantity_of_circles,Quantity_of_drs,Quantity_of_turns,Tire_wear,Speed_of_turns,Downforce,Brake_load,Streets_or_not,Speed_of_track,PitStop_losing_time,Age,Average_pit_stop,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,Pressure,Result_last_year,Salary,Team_financial_power,Regulation_Impact,Factorys_or_not,Strengh_of_first_partners,Driver_nationalitie,Points_before_race,Championship_position_before,teammate_points,points_ratio,points_ratio_log,avg_points_ratio,avg_last_3,avg_season
2025,1,Melbourne,ALB,Williams,5.0,6,6,0,6.0,12.0,7.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,29,4.49,15.7,18.942134831460677,76.0,True,3.5,1010.0,11.0,6.0,1,0.0,0,7.0,THA,0.0,,0.0,10000000.0,16.118095750958314,1.0,11.0,11.0
2025,1,Melbourne,ALO,Aston Martin,28.97,12,12,0,8.0,13.0,17.0,1.0,0,0.0,0.0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,44,3.4,15.7,18.942134831460677,76.0,True,3.5,1010.0,8.0,24.0,2,0.0,1,8.0,ESP,0.0,,8.0,0.0,0.0,1.0,8.0,8.0
2025,1,Melbourne,ANT,Mercedes,4.0,16,16,0,14.0,16.0,5.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,19,2.79,15.7,18.942134831460677,76.0,True,3.5,1010.0,,5.0,3,0.0,1,6.0,ITA,0.0,,15.0,0.7999999466666703,0.587786635272491,1.0,10.0,10.0
2025,1,Melbourne,BEA,Haas F1 Team,14.0,20,20,0,20.0,,,0.0,1,0.0,0.0,0,1,1,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,20,4.81,15.7,18.942134831460677,76.0,True,3.5,1010.0,,1.0,1,0.0,0,5.0,GBR,0.0,,0.0,1.0,0.6931471805599453,1.0,10.0,10.0
2025,1,Melbourne,BOR,Sauber,22.24,15,15,0,15.0,18.0,11.0,1.0,0,0.0,0.0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,21,3.46,15.7,18.942134831460677,76.0,True,3.5,1010.0,,,1,0.0,0,5.0,BRA,0.0,,6.0,0.0,0.0,1.0,10.0,10.0
2025,1,Melbourne,DOO,Alpine,50.0,14,14,0,13.0,14.0,15.0,1.0,0,0.0,0.0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,22,2.95,15.7,18.942134831460677,76.0,True,3.5,1010.0,,0.75,2,0.0,1,3.0,AUS,0.0,,0.0,1.0,0.6931471805599453,1.0,10.0,10.0
2025,1,Melbourne,GAS,Alpine,11.0,9,9,0,17.0,15.0,12.0,0.0,1,0.0,0.0,0,0,0,0,Renault,5.278,58,3,14,2,2,2,2,1,2,19.0,29,2.95,15.7,18.942134831460677,76.0,True,3.5,1010.0,13.0,8.0,2,0.0,1,6.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,13.0,13.0
2025,1,Melbourne,HAD,Racing Bulls,50.0,11,11,0,9.0,6.0,13.0,1.0,0,0.0,0.0,0,0,0,0,Honda,5.278,58,3,14,2,2,2,2,1,2,19.0,21,3.06,15.7,18.942134831460677,76.0,True,3.5,1010.0,,,2,0.0,0,2.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,10.0,10.0
2025,1,Melbourne,HAM,Ferrari,10.0,8,8,0,12.0,5.0,8.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,40,2.45,15.7,18.942134831460677,76.0,True,3.5,1010.0,42.24,70.0,3,0.0,1,10.0,GBR,0.0,,4.0,0.24999993750001562,0.223143501314221,1.0,20.0,20.0
2025,1,Melbourne,HUL,Sauber,7.0,17,17,0,18.0,8.0,16.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,38,3.46,15.7,18.942134831460677,76.0,True,3.5,1010.0,9.0,4.0,1,0.0,0,6.0,GER,0.0,,0.0,6000000.0,15.607270193858982,1.0,9.0,9.0
2025,1,Melbourne,LAW,Red Bull Racing,22.07,18,18,0,16.0,17.0,,1.0,0,0.0,0.0,0,0,1,0,Honda,5.278,58,3,14,2,2,2,2,1,2,19.0,23,2.93,15.7,18.942134831460677,76.0,True,3.5,1010.0,,1.0,3,0.0,0,4.0,NZL,0.0,,18.0,0.0,0.0,1.0,10.0,10.0
2025,1,Melbourne,LEC,Ferrari,8.0,7,7,0,3.0,1.0,4.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,28,2.45,15.7,18.942134831460677,76.0,True,3.5,1010.0,2.0,30.0,3,0.0,1,8.0,MON,0.0,,1.0,3.9999960000040002,1.6094371124345805,1.0,2.0,2.0
2025,1,Melbourne,NOR,McLaren,1.0,1,1,0,1.0,3.0,10.0,0.0,1,0.0,0.0,0,0,0,1,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,26,3.0,15.7,18.942134831460677,76.0,True,3.5,1010.0,3.0,18.0,2,0.0,0,6.0,GBR,0.0,,2.0,12.499993750003124,2.602689222481545,1.0,3.0,3.0
2025,1,Melbourne,OCO,Haas F1 Team,13.0,19,19,0,19.0,19.0,18.0,0.0,1,0.0,0.0,0,0,0,0,Ferrari,5.278,58,3,14,2,2,2,2,1,2,19.0,29,4.81,15.7,18.942134831460677,76.0,True,3.5,1010.0,16.0,8.0,1,0.0,0,7.0,FRA,0.0,,0.0,1.0,0.6931471805599453,1.0,16.0,16.0
2025,1,Melbourne,PIA,McLaren,9.0,2,2,0,4.0,2.0,1.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,24,3.0,15.7,18.942134831460677,76.0,True,3.5,1010.0,4.0,10.0,2,0.0,0,7.0,AUS,0.0,,25.0,0.07999999680000013,0.07696103817316548,1.0,4.0,4.0
2025,1,Melbourne,RUS,Mercedes,3.0,4,4,0,7.0,10.0,2.0,0.0,1,0.0,0.0,0,0,0,0,Mercedes,5.278,58,3,14,2,2,2,2,1,2,19.0,27,2.79,15.7,18.942134831460677,76.0,True,3.5,1010.0,20.35,15.0,3,0.0,1,8.0,GBR,0.0,,12.0,1.249999895833342,0.8109301699200353,1.0,20.0,20.0
